 Log10[q2](GeV^2)  Log10[r2](GeV^2)     theta            G1              G2               G3               G4
-4.0000000E+0    -1.8275862E+0     3.2223639E-1     3.4357341E-1     5.5513007E-3     2.0367591E-2    -8.6539066E-3
-4.0000000E+0    -1.8275862E+0     4.7835458E-1     3.4330958E-1     5.4926893E-3     2.0361886E-2    -8.6503232E-3
-4.0000000E+0    -1.8275862E+0     6.3447277E-1     3.4294831E-1     5.4879685E-3     2.0351939E-2    -8.6302495E-3
-4.0000000E+0    -1.8275862E+0     7.9059097E-1     3.4249635E-1     5.4802440E-3     2.0338850E-2    -8.6212359E-3
-4.0000000E+0    -1.8275862E+0     9.4670916E-1     3.4196202E-1     5.4716254E-3     2.0324279E-2    -8.6140857E-3
-4.0000000E+0    -1.8275862E+0     1.1028274E+0     3.4135569E-1     5.4603632E-3     2.0308958E-2    -8.6168558E-3
-4.0000000E+0    -1.8275862E+0     1.2589455E+0     3.4068935E-1     5.4510211E-3     2.0293869E-2    -8.6159528E-3
-4.0000000E+0    -1.8275862E+0     1.4150637E+0     3.3997692E-1     5.4429488E-3     2.0279495E-2    -8.6137880E-3
-4.0000000E+0    -1.8275862E+0     1.5711819E+0     3.3923443E-1     5.4334671E-3     2.0266476E-2    -8.6194539E-3
-4.0000000E+0    -1.8275862E+0     1.7273001E+0     3.3847918E-1     5.4307089E-3     2.0255416E-2    -8.6142254E-3
-4.0000000E+0    -1.8275862E+0     1.8834183E+0     3.3772952E-1     5.4314492E-3     2.0246608E-2    -8.6063834E-3
-4.0000000E+0    -1.8275862E+0     2.0395365E+0     3.3700459E-1     5.4304204E-3     2.0240216E-2    -8.6074901E-3
-4.0000000E+0    -1.8275862E+0     2.1956547E+0     3.3632378E-1     5.4332034E-3     2.0236122E-2    -8.6045265E-3
-4.0000000E+0    -1.8275862E+0     2.3517729E+0     3.3570628E-1     5.4364607E-3     2.0234274E-2    -8.6035911E-3
-4.0000000E+0    -1.8275862E+0     2.5078911E+0     3.3517012E-1     5.4418724E-3     2.0234170E-2    -8.6056709E-3
-4.0000000E+0    -1.8275862E+0     2.6640093E+0     3.3473169E-1     5.4405002E-3     2.0234405E-2    -8.6178077E-3
-4.0000000E+0    -1.8275862E+0     2.8201275E+0     3.3440450E-1     5.4510325E-3     2.0233291E-2    -8.6183661E-3
-4.0000000E+0    -1.8275862E+0     2.9762457E+0     3.3419919E-1     5.7045175E-3     2.0232738E-2    -8.6111459E-3
-4.0000000E+0    -1.5862069E+0     1.0000000E-2     3.7523181E-1     6.1113231E-3     2.0923642E-2    -8.7658812E-3
-4.0000000E+0    -1.5862069E+0     1.6611819E-1     3.7518768E-1     5.9629699E-3     2.0922525E-2    -8.7527671E-3
-4.0000000E+0    -1.5862069E+0     3.2223639E-1     3.7506298E-1     5.7493234E-3     2.0919742E-2    -8.7487255E-3
-4.0000000E+0    -1.5862069E+0     4.7835458E-1     3.7486003E-1     5.7039518E-3     2.0913876E-2    -8.7512081E-3
-4.0000000E+0    -1.5862069E+0     6.3447277E-1     3.7458268E-1     5.7011746E-3     2.0905930E-2    -8.7419501E-3
-4.0000000E+0    -1.5862069E+0     7.9059097E-1     3.7423644E-1     5.6911532E-3     2.0895768E-2    -8.7442188E-3
-4.0000000E+0    -1.5862069E+0     9.4670916E-1     3.7382819E-1     5.6856298E-3     2.0883202E-2    -8.7400369E-3
